type,format,identifier,references
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/428070.wav?1651888894,https://www.inaturalist.org/photos/428070
Sound,audio/mp4,https://static.inaturalist.org/sounds/420660.m4a?1651509259,https://www.inaturalist.org/photos/420660
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/193728611/original.jpeg,https://www.inaturalist.org/photos/193728611
Sound,audio/mp4,https://static.inaturalist.org/sounds/408436.m4a?1651227530,https://www.inaturalist.org/photos/408436
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/195347399/original.jpeg,https://www.inaturalist.org/photos/195347399
Sound,audio/mpeg,https://static.inaturalist.org/sounds/427399.mp3?1651850460,https://www.inaturalist.org/photos/427399
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/195347418/original.jpeg,https://www.inaturalist.org/photos/195347418
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/432785.wav?1652180682,https://www.inaturalist.org/photos/432785
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/195476808/original.jpeg,https://www.inaturalist.org/photos/195476808
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/195494789/original.jpeg,https://www.inaturalist.org/photos/195494789
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/428027.wav?1651887524,https://www.inaturalist.org/photos/428027
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/195494769/original.jpeg,https://www.inaturalist.org/photos/195494769
Sound,audio/mpeg,https://static.inaturalist.org/sounds/431641.mp3?1652098735,https://www.inaturalist.org/photos/431641
Sound,audio/mp4,https://static.inaturalist.org/sounds/372960.m4a?1647559433,https://www.inaturalist.org/photos/372960
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/415018.wav?1651377020,https://www.inaturalist.org/photos/415018
Sound,audio/mpeg,https://static.inaturalist.org/sounds/409227.mp3?1651243697,https://www.inaturalist.org/photos/409227
Sound,audio/mpeg,https://static.inaturalist.org/sounds/409228.mp3?1651243704,https://www.inaturalist.org/photos/409228
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/191623576/original.jpeg,https://www.inaturalist.org/photos/191623576
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/415017.wav?1651377010,https://www.inaturalist.org/photos/415017
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/410933.wav?1651285870,https://www.inaturalist.org/photos/410933
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/192001291/original.jpg,https://www.inaturalist.org/photos/192001291
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/192001682/original.jpg,https://www.inaturalist.org/photos/192001682
Sound,audio/mpeg,https://static.inaturalist.org/sounds/328187.mp3?1636647484,https://www.inaturalist.org/photos/328187
Sound,audio/mp4,https://static.inaturalist.org/sounds/416733.m4a?1651420024,https://www.inaturalist.org/photos/416733
Sound,audio/mp4,https://static.inaturalist.org/sounds/397909.m4a?1650313276,https://www.inaturalist.org/photos/397909
Sound,audio/mpeg,https://static.inaturalist.org/sounds/414136.mp3?1651356146,https://www.inaturalist.org/photos/414136
Sound,audio/mp4,https://static.inaturalist.org/sounds/410685.m4a?1651279304,https://www.inaturalist.org/photos/410685
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/258312.wav?1624227218,https://www.inaturalist.org/photos/258312
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/258320.wav?1624228132,https://www.inaturalist.org/photos/258320
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/258319.wav?1624228121,https://www.inaturalist.org/photos/258319
Sound,audio/mp4,https://static.inaturalist.org/sounds/418644.m4a?1651453082,https://www.inaturalist.org/photos/418644
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/432794.wav?1652181012,https://www.inaturalist.org/photos/432794
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/196207489/original.jpg,https://www.inaturalist.org/photos/196207489
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/196207509/original.jpg,https://www.inaturalist.org/photos/196207509
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/431379.wav?1652080648,https://www.inaturalist.org/photos/431379
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/196207503/original.jpg,https://www.inaturalist.org/photos/196207503
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/196207480/original.jpg,https://www.inaturalist.org/photos/196207480
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/432787.wav?1652180794,https://www.inaturalist.org/photos/432787
Sound,audio/mpeg,https://static.inaturalist.org/sounds/433714.mp3?1652238796,https://www.inaturalist.org/photos/433714
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/432786.wav?1652180725,https://www.inaturalist.org/photos/432786
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/193457255/original.jpeg,https://www.inaturalist.org/photos/193457255
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/440545.wav?1652687433,https://www.inaturalist.org/photos/440545
Sound,audio/mp4,https://static.inaturalist.org/sounds/433595.m4a?1652230391,https://www.inaturalist.org/photos/433595
Sound,audio/mp4,https://static.inaturalist.org/sounds/433571.m4a?1652228485,https://www.inaturalist.org/photos/433571
Sound,audio/mp4,https://static.inaturalist.org/sounds/422102.m4a?1651537056,https://www.inaturalist.org/photos/422102
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/415021.wav?1651377048,https://www.inaturalist.org/photos/415021
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/424409.wav?1651640272,https://www.inaturalist.org/photos/424409
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/430988.wav?1652049309,https://www.inaturalist.org/photos/430988
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/192396763/original.jpeg,https://www.inaturalist.org/photos/192396763
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/413190.wav?1651344401,https://www.inaturalist.org/photos/413190
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/192396613/original.jpeg,https://www.inaturalist.org/photos/192396613
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/192396695/original.jpeg,https://www.inaturalist.org/photos/192396695
Sound,audio/mp4,https://static.inaturalist.org/sounds/417429.m4a?1651430003,https://www.inaturalist.org/photos/417429
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/192914356/original.jpeg,https://www.inaturalist.org/photos/192914356
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/192914307/original.jpeg,https://www.inaturalist.org/photos/192914307
Sound,audio/mp4,https://static.inaturalist.org/sounds/426113.m4a?1651761951,https://www.inaturalist.org/photos/426113
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/192677441/original.jpeg,https://www.inaturalist.org/photos/192677441
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/417102.wav?1651425318,https://www.inaturalist.org/photos/417102
Sound,audio/mpeg,https://www.xeno-canto.org/sounds/uploaded/VJARXMSBTG/XC722571-TRIERY_220505_Ch%C3%A9cy.mp3,
StillImage,image/png,https://www.xeno-canto.org/sounds/uploaded/VJARXMSBTG/ffts/XC722571-large.png,
Sound,audio/mpeg,https://www.xeno-canto.org/sounds/uploaded/DNBTYQPEZZ/XC721563-woodcock%203%20may%202022%200418.mp3,
StillImage,image/png,https://www.xeno-canto.org/sounds/uploaded/DNBTYQPEZZ/ffts/XC721563-large.png,
Sound,audio/mpeg,https://www.xeno-canto.org/sounds/uploaded/AOTHYRVWHS/XC721149-Common%20Sandpiper%202022_05_02%2000.11.mp3,
StillImage,image/png,https://www.xeno-canto.org/sounds/uploaded/AOTHYRVWHS/ffts/XC721149-large.png,
StillImage,image/png,https://www.xeno-canto.org/sounds/uploaded/UOMNPGBULW/ffts/XC721130-large.png,
Sound,audio/mpeg,https://www.xeno-canto.org/sounds/uploaded/UOMNPGBULW/XC721130-Storspove%20%C3%98by%20d%201%20maj%20kl.23.15.mp3,
StillImage,image/png,https://www.xeno-canto.org/sounds/uploaded/HRHQNZTQAN/ffts/XC720078-large.png,
Sound,audio/mpeg,https://www.xeno-canto.org/sounds/uploaded/HRHQNZTQAN/XC720078-p%C5%82awny%20oko%C5%82wice%2028%2004%2022.mp3,
StillImage,image/png,https://www.xeno-canto.org/sounds/uploaded/PDMQHRJMYN/ffts/XC719719-large.png,
Sound,audio/mpeg,https://www.xeno-canto.org/sounds/uploaded/PDMQHRJMYN/XC719719-Dunlin%2013.04.22%20FLA.mp3,
Sound,audio/mpeg,https://www.xeno-canto.org/sounds/uploaded/VCROLXMVLX/XC718747-scolopax_rusticola_laskowiec_podlaskie_2022.04.24_0344.mp3,
StillImage,image/png,https://www.xeno-canto.org/sounds/uploaded/VCROLXMVLX/ffts/XC718747-large.png,
Sound,audio/mpeg,https://www.xeno-canto.org/sounds/uploaded/QQSKLNKTSF/XC718684-valona%202%20xeno.mp3,
StillImage,image/png,https://www.xeno-canto.org/sounds/uploaded/QQSKLNKTSF/ffts/XC718684-large.png,
Sound,audio/mpeg,https://www.xeno-canto.org/sounds/uploaded/YNOAMCSSHX/XC718413-%20call%20%E9%A3%9E%E8%A1%8C%EF%BC%8C%E4%B8%A4%E5%8F%AA%201906191357%20%E4%B8%9C%E6%BB%A9SHADOW_1060S12.mp3,
StillImage,image/png,https://www.xeno-canto.org/sounds/uploaded/YNOAMCSSHX/ffts/XC718413-large.png,
Sound,audio/mpeg,https://www.xeno-canto.org/sounds/uploaded/UGKDXJQJTC/XC718387-220425_1205a.mp3,
StillImage,image/png,https://www.xeno-canto.org/sounds/uploaded/UGKDXJQJTC/ffts/XC718387-large.png,
StillImage,image/png,https://www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC718170-large.png,
Sound,audio/mpeg,https://www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/XC718170-220419_scorus_wing_1.mp3,
StillImage,image/png,https://www.xeno-canto.org/sounds/uploaded/PAEQEUHPFQ/ffts/XC717874-large.png,
Sound,audio/mpeg,https://www.xeno-canto.org/sounds/uploaded/PAEQEUHPFQ/XC717874-Dunlin_NFC_Ring%20Marsh_9%2B10.03.22_519_A.mp3,
StillImage,image/png,https://www.xeno-canto.org/sounds/uploaded/ITHRUQEQCF/ffts/XC717298-large.png,
